surface_index,surface_label,alpha_index,alpha,ky_index,ky,sample_weight,scalar_value,growth_proxy,quasilinear_flux_proxy,nonlinear_window_proxy
0,0.25,0,0.0,0,0.25,0.0476190485060215,0.08758150786161423,0.0808185487985611,0.08642684668302536,0.09169305115938187
0,0.25,0,0.0,1,0.45,0.0714285746216774,0.0817139595746994,0.08781854808330536,0.07723773270845413,0.08209042996168137
0,0.25,0,0.0,2,0.75,0.0892857164144516,0.07756219059228897,0.09831856191158295,0.06924009323120117,0.0737328976392746
0,0.25,1,0.65,0,0.25,0.03401360660791397,0.08801445364952087,0.07949952781200409,0.08501630276441574,0.09433509409427643
0,0.25,1,0.65,1,0.45,0.051020409911870956,0.08215340971946716,0.08649952709674835,0.07607763260602951,0.08456141501665115
0,0.25,1,0.65,2,0.75,0.06377550959587097,0.07801821827888489,0.09699953347444534,0.0683111771941185,0.07606945931911469
1,0.55,0,0.0,0,0.25,0.08571428060531616,0.09298769384622574,0.08381855487823486,0.08963503688573837,0.09988590329885483
1,0.55,0,0.0,1,0.45,0.12857142090797424,0.08642524480819702,0.09081855416297913,0.07987628877162933,0.08916103839874268
1,0.55,0,0.0,2,0.75,0.1607142686843872,0.08164381980895996,0.10131856799125671,0.07135282456874847,0.07979375123977661
1,0.55,1,0.65,0,0.25,0.06122448667883873,0.09345625340938568,0.08249953389167786,0.08822448551654816,0.10260709375143051
1,0.55,1,0.65,1,0.45,0.09183673560619354,0.08689400553703308,0.08949953317642212,0.07871618866920471,0.09169713407754898
1,0.55,1,0.65,2,0.75,0.11479591578245163,0.082123301923275,0.09999953210353851,0.0704239085316658,0.08218244463205338
